stage,basket_id,basket_name,action,details
normalize,32543575-39fc-42b3-b83c-11dd213e3911,Social Sciences Major - Academy Option Pool,sync_to_canonical_academy_open,added=7 removed=2 final=862
normalize,3895b5ae-8a14-444c-8000-d52d9021ffaf,Biology Major - Track - Academy Options: Pick N Options,sync_to_canonical_academy_open,added=7 removed=2 final=862
normalize,596d452a-9d2e-4246-9b9a-ccd834cce4b4,Geospatial Science Major - Academy Options Pool,sync_to_canonical_academy_open,added=7 removed=2 final=862
normalize,9fab78af-e08e-470a-b900-c1d336c877b7,Behavioral Sciences - Academy Options,sync_to_canonical_academy_open,added=7 removed=2 final=862
normalize,c9e150d9-dcfa-4757-a82e-7278e4081c22,Economics Major - Academy Option Pool,sync_to_canonical_academy_open,added=0 removed=4 final=862
normalize,c9f4c4f0-b3d8-404b-81e1-789f86610016,English Major - Academy Options Pool,sync_to_canonical_academy_open,added=7 removed=2 final=862
normalize,d8fafbcb-e7c1-42d5-8c46-0715efa638c6,Philosophy Major - Open Academic Option Pool,sync_to_canonical_academy_open,added=0 removed=4 final=862
normalize,f8afe0fb-3e98-4250-84d0-7d9dbc717805,Legal Studies Major - Academy Option Pool,sync_to_canonical_academy_open,added=0 removed=4 final=862
dedupe,f546074a-ec53-4aea-9cdb-115f50f30fd4,Behavioral Sciences - Track - Cognition and Neuroscience Courses: Pick N Options (Psych),skipped,semantic_mismatch
dedupe,1dd69a29-ee2d-4c4e-99c9-463a9d11dc22,Behavioral Sciences - Track - Cognition and Neuroscience Courses: Pick N Options (Soc),skipped,semantic_mismatch
dedupe,333af6ad-afc8-4b58-a908-e124fdf74228,Behavioral Sciences - Track - Additional Cognition and Neuroscience Courses: Pick N Options (HF),skipped,semantic_mismatch
dedupe,b080bcaf-67d1-4a43-ae64-fa092ac38db9,Behavioral Sciences - Track - Applied Psychology Courses: Pick N Options (Psych),merged_into_canonical,canonical=Behavioral Sciences - Track - Applied Psychology Courses: Pick N Options (Soc) moved_links=1 reason=same_requirement_name
dedupe,f5604d45-eb0e-4d00-80e4-53151395ae13,Behavioral Sciences - Track - Applied Psychology Courses: Pick N Options (Soc),canonical_kept,same_requirement_name
dedupe,81509a8e-9e6d-4fc4-aba7-b236888f944c,Behavioral Sciences - Track - Sociology Courses: Pick N Options (Psych),skipped,semantic_mismatch
dedupe,0cd5e201-b064-418b-838a-54a43679cd50,Behavioral Sciences - Track - Additional Sociology Courses: Pick N Options (Soc),skipped,semantic_mismatch
dedupe,9510926f-fb73-4d57-8241-891f0eebf2ad,Behavioral Sciences - Track - Sociology Courses: Pick N Options (HF),skipped,semantic_mismatch
dedupe,79501776-0897-448e-9ebf-1de99cfc069a,Behavioral Sciences - Track - Behavioral Sciences Electives: Pick N Options (Psych),merged_into_canonical,canonical=Behavioral Sciences - Track - Behavioral Sciences Electives: Pick N Options (HF) moved_links=1 reason=same_requirement_name
dedupe,f751ca04-9609-4ead-a536-ed0f5948b596,Behavioral Sciences - Track - Behavioral Sciences Electives: Pick N Options (Soc),merged_into_canonical,canonical=Behavioral Sciences - Track - Behavioral Sciences Electives: Pick N Options (HF) moved_links=1 reason=same_requirement_name
dedupe,eb016363-062f-4b58-b43a-9bdf41c296f2,Behavioral Sciences - Track - Behavioral Sciences Electives: Pick N Options (HF),canonical_kept,same_requirement_name
dedupe,9fab78af-e08e-470a-b900-c1d336c877b7,Behavioral Sciences - Academy Options,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,3895b5ae-8a14-444c-8000-d52d9021ffaf,Biology Major - Track - Academy Options: Pick N Options,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,c9f4c4f0-b3d8-404b-81e1-789f86610016,English Major - Academy Options Pool,canonical_kept,academy_open_family
dedupe,596d452a-9d2e-4246-9b9a-ccd834cce4b4,Geospatial Science Major - Academy Options Pool,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,32543575-39fc-42b3-b83c-11dd213e3911,Social Sciences Major - Academy Option Pool,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,c9e150d9-dcfa-4757-a82e-7278e4081c22,Economics Major - Academy Option Pool,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,f8afe0fb-3e98-4250-84d0-7d9dbc717805,Legal Studies Major - Academy Option Pool,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,d8fafbcb-e7c1-42d5-8c46-0715efa638c6,Philosophy Major - Open Academic Option Pool,merged_into_canonical,canonical=English Major - Academy Options Pool moved_links=1 reason=academy_open_family
dedupe,85b91dc9-ba41-4d72-b1bd-261a7868cee9,Biology Major - Track - Biology Option 2: Any One Options,skipped,semantic_mismatch
dedupe,127ebee4-6466-4371-ae65-8d06839c5b5a,Biology Major - Track - Biology Option 3: Any One Options,skipped,semantic_mismatch
dedupe,f74984f6-c53d-4b0d-b28f-cbd385accd33,Basic Sciences - Biology Non-Core Options,skipped,semantic_mismatch
dedupe,b677c712-d207-417d-85f4-0acaec91bd8f,Basic Sciences - Track - Coherent Study Biology (12h): Pick N Pool,skipped,semantic_mismatch
dedupe,2a6dcbfe-fb8c-4ab6-b0f1-7850236a1f7c,Basic Sciences - Chemistry Non-Core Options,skipped,semantic_mismatch
dedupe,02c0c88d-f648-4f32-82de-6d7e7d1ae683,Basic Sciences - Track - Coherent Study Chemistry (12h): Pick N Pool,skipped,semantic_mismatch
dedupe,0b3bf332-f8cb-4d6c-a768-4d29f4c5c80d,Basic Sciences - Mathematics Non-Core Options,skipped,semantic_mismatch
dedupe,0804a702-26ff-44ad-bf56-53422c9ea4b3,Basic Sciences - Track - Coherent Study Mathematics (12h): Pick N Pool,skipped,semantic_mismatch
dedupe,4e349054-a72a-4057-a51a-e5a111ca4916,Basic Sciences - Physics Non-Core Options,skipped,semantic_mismatch
dedupe,12293954-099e-4f01-b202-43206982f4a9,Basic Sciences - Track - Coherent Study Physics (12h): Pick N Pool,skipped,semantic_mismatch
