action,course_number,new_additional_requirements_text,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
UPDATE,Aero Engr 316,Section taught in French; available for students qualified for Aero Engr 315 and having completed or validated French 321.,,Mech Engr 220,"COI Coreq Mech Engr 220"
UPDATE,Aero Engr 447,,Aero Engr 351,Aero Engr 442,"COI Coreq Aero Engr 442"
UPDATE,Beh Sci 345,,Beh Sci 110,,"COI Prereq Beh Sci 110"
UPDATE,Beh Sci 352,,Beh Sci 110,,"COI Prereq Beh Sci 110"
UPDATE,Civ Engr 355,,,Civ Engr 372,"COI Coreq Civ Engr 372"
UPDATE,Civ Engr 373,Prereq/Coreq with Civ Engr 372 per COI.,Civ Engr 372,,"COI Prereq/Coreq Civ Engr 372 (modeled as prereq)"
UPDATE,Civ Engr 488,,Civ Engr 390,,"COI Prereq Civ Engr 390"
UPDATE,Econ 440,Prereq/Coreq with Econ 201 per COI.,Econ 201,,"COI Prereq/Coreq Econ 201 (modeled as prereq)"
UPDATE,English 350,,English 211,,"COI Prereq English 211"
UPDATE,Law 221,,,Law 220,"COI Coreq Law 220"
UPDATE,Law 321,Prereq/Coreq with Law 221 per COI.,Law 221,,"COI Prereq/Coreq Law 221 (modeled as prereq)"
UPDATE,Mech Engr 396,,,ECE 315,"COI Coreq ECE 315"
UPDATE,Meteor 320,,Physics 110,,"COI Prereq Physics 110"
UPDATE,MSS 251,,History 100,,"COI Prereq History 100"
UPDATE,MSS 498,,MSS 298,,"COI Prereq MSS 298"
UPDATE,Phy Ed 489,,PE 222,,"COI Prereq PE 222"
UPDATE,Phy Ed 495,,PE 222;PE 315,,"COI Prereq PE 222 and PE 315"
UPDATE,Physics 215,,Physics 110;Math 142,,"COI Prereq Physics 110 and Math 142"
UPDATE,Soc Sci 420,Law 220 recommended by COI.,Econ 201,,"COI Prereq Econ 201"
UPDATE,Space 472,,Space 350,,"COI Prereq Space 350"
