action,course_id,course_number,current_title,current_credit_hours,new_title,new_credit_hours,new_designated_semester,new_offered_periods_json,new_standing_requirement,new_additional_requirements_text,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
UPSERT,,Aero Engr 206,,,Aero Engr 206 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_aero_major_from_coi.py
UPSERT,,Aero Engr 210,,,Aero Engr 210 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_aero_major_from_coi.py
UPSERT,,Aero Engr 210S,,,Aero Engr 210S (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_aero_major_from_coi.py
UPSERT,,Division Engr 341,,,Division Engr 341 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_astro_major_from_coi.py
UPSERT,,Astr Engr 351,,,Astr Engr 351 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_astro_major_from_coi.py
UPSERT,,Engr 443,,,Engr 443 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_astro_major_from_coi.py
UPSERT,,Chem 222,,,Chem 222 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_basic_sciences_major_from_coi.py
UPSERT,,Chem 350,,,Chem 350 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_basic_sciences_major_from_coi.py
UPSERT,,Physics 370,,,Physics 370 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_basic_sciences_major_from_coi.py
UPSERT,,Beh Sci 380,,,Beh Sci 380 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_behavioral_sciences_major_from_coi.py
UPSERT,,Beh Sci 365,,,Beh Sci 365 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_behavioral_sciences_major_from_coi.py
UPSERT,,Biology 331,,,Biology 331 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_biology_major_from_coi.py
UPSERT,,Chem 381,,,Chem 381 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_chemistry_major_from_coi.py
UPSERT,,Chem 433,,,Chem 433 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_chemistry_major_from_coi.py
UPSERT,,Chem 440,,,Chem 440 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_chemistry_major_from_coi.py
UPSERT,,Chem 491,,,Chem 491 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_chemistry_major_from_coi.py
UPSERT,,Chem 482,,,Chem 482 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_chemistry_major_from_coi.py
UPSERT,,Civ Engr 385,,,Civ Engr 385 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_civil_engineering_major_from_coi.py
UPSERT,,Civ Engr 485,,,Civ Engr 485 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_civil_engineering_major_from_coi.py
UPSERT,,Civ Engr 462,,,Civ Engr 462 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_civil_engineering_major_from_coi.py
UPSERT,,Comp Sci 454,,,Comp Sci 454 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_computer_science_major_from_coi.py
UPSERT,,Comp Sci 496,,,Comp Sci 496 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_computer_science_major_from_coi.py
UPSERT,,Cyber Sci 431,,,Cyber Sci 431 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_computer_science_major_from_coi.py
UPSERT,,Law 440,,,Law 440 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_computer_science_major_from_coi.py
UPSERT,,Philos 370,,,Philos 370 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_computer_science_major_from_coi.py
UPSERT,,Philos 320,,,Philos 320 (TBD Curate),3.0,,,,Auto-seeded from unresolved populate reference; requires COI curation.,,,source_script=../tools/populate_data_science_major_from_coi.py
