course_number,course_id,raw_prereq_text,candidate_prereqs,candidate_coreqs,unmapped_numbers,suggested_non_or_prereqs,suggested_non_or_coreqs,resolution_mode,resolved_prereqs_semicolon,resolved_coreqs_semicolon,notes
Aero Engr 316,e6b10d12-d855-4705-a8bc-ba564bf0f5c0,Aero Engr 210S or Aero Engr 315; Aero Engr 241,AERO ENGR 210S; AERO ENGR 315,,,AERO ENGR 241,,,,,
Aero Engr 342,26f7f333-caff-4725-9b05-3016ca3f3aad,Aero Engr 341. Coreq: Engr 346 or equivalent,,ENGR 346,,AERO ENGR 341,,,,,
Aero Engr 351,9f37c7cb-6b86-4b0f-8f4a-5047ea8d034f,Math 243 and either Aero Engr 210 or Aero Engr 315. Coreq: Physics 110,MATH 243; AERO ENGR 210; AERO ENGR 315,,,,PHYSICS 110,,,,
Aero Engr 361,edf78966-8b1b-46e6-81bc-f98711f2f1b0,Aero Engr 241 or department approval,AERO ENGR 241,,,,,,,,
Aero Engr 436,87268632-18a3-4a61-a17e-d3008a159ea9,Aero Engr 210S or Aero Engr 315 and Mech Engr 330. Coreq: Mech Engr 350,AERO ENGR 210S; AERO ENGR 315; MECH ENGR 330,,,,MECH ENGR 350,,,,
Aero Engr 446,48239868-3478-49d3-aa01-8a6db7e1ba02,Aero Engr 241 or Mech Engr 341,AERO ENGR 241; MECH ENGR 341,,,,,,,,
Aero Engr 482,5206cdf0-702d-4403-9d43-443b2ef43fc2,"Aero Engr 352, Aero Engr 481, and Aero Engr 342 (or department approval)",AERO ENGR 342,,,AERO ENGR 352; AERO ENGR 481; AERO ENGR 342,,,,,
Aero Engr 483,c6b0863e-885c-43cd-b294-3e709c0914c8,Aero Engr 466 and Aero Engr 480 (or department approval),AERO ENGR 480,,,AERO ENGR 466; AERO ENGR 480,,,,,
Astr Engr 310S,3984b1f7-cdf2-431d-b49c-acef8569ee1c,Math 142 and Physics 110; Academy Scholar status or Department Head and Martinson Honors Program Director approval,PHYSICS 110,,,MATH 142; PHYSICS 110,,,,,
Astr Engr 321,9adc62a8-20b9-4e6c-8ce9-e39a7034820b,Astr Engr 201 or Comp Sci 211; Astr Engr 310; completed or enrolled in Math 245,ASTR ENGR 201; COMP SCI 211,,COMPLETED; ENROLLED IN MATH 245,ASTR ENGR 310,,,,,
Astr Engr 335,4db9976d-b22a-4a5b-8a1a-d7c397b43460,Astr Engr 310 or Department Head approval,ASTR ENGR 310,,,,,,,,
Astr Engr 438,c8698748-d244-4ad4-a05f-29ee2bb475c5,Mech Engr 320 or Physics 355; completed or enrolled in Engr 342. Includes analysis and synthesis with MATLAB simulation,MECH ENGR 320; PHYSICS 355,,COMPLETED; ENROLLED IN ENGR 342,,,,,,
Astr Engr 499A,ffb575ea-7c3b-41f7-bec8-bdbc2a0fc921,"Math 346, Math 356 and Engr 342 or either ECE 333 or Mech Engr 325 with Course Director approval. Computer projects require programming proficiency",MATH 346; MATH 356; ENGR 342; ECE 333; MECH ENGR 325,,,,,,,,
Aviation 202,29cd665f-9bec-4b9d-9bfb-494734852ebe,Aviation 100 and Armnshp 201 or Armnshp 302,AVIATION 100; ARMNSHP 201; ARMNSHP 302,,,,,,,,
Aviation 300,47f3fc18-814e-419c-9138-91690cb6304b,"Aviation-100 and Armnshp 251 or Armnshp 201. Early enrollment and superior performance in Aviation-100, Armnshp251 and/or Armnshp 201 are highly desired and normally contribute to selection",ARMNSHP 251; ARMNSHP 201,,,,,,,,
