action,course_id,course_number,current_title,current_credit_hours,new_title,new_credit_hours,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
,c9423571-7ead-4c07-b579-5944362f618e,Aero Engr 241,Sem hrs: 3 fall or spring,3.0,,,,,
UPDATE,15fded97-e523-470f-8694-ca0f988ac280,Aero Engr 315,Coreq: Physics 110,3.0,,,,PHYSICS 110,auto-batch1: extracted prereq/coreq from title text
UPDATE,503ef1c2-bf40-441e-8548-7f736360a576,Aero Engr 341,Coreq: Engr 346 or equivalent,3.0,,,,ENGR 346,auto-batch1: extracted prereq/coreq from title text
,26f7f333-caff-4725-9b05-3016ca3f3aad,Aero Engr 342,Sem hrs: 3 fall,3.0,,,,,
,edf78966-8b1b-46e6-81bc-f98711f2f1b0,Aero Engr 361,Sem hrs: 3 fall,3.0,,,,,
,fd0efb54-98d6-4544-bcd6-10e6db6aad22,Aero Engr 456,"Students receive credit for this course by participating in a field trip to Edwards AFB, flight test sortie in a high performance aircraft, c",3.0,,,,,
,0aabf355-5fb4-4e54-931f-83a1e07b4f29,Ar Stu 495,A cadet may typically earn credit for a maximum of 6 courses while abroad and may request authorization from the DFLCP Director to receive cr,3.0,,,,,
,ecb6ecbe-1997-4ae1-b6ef-68a53c0325ac,Armnshp 201,"Early enrollment and superior performance in Aviation-100, Armnshp251 and/or Armnshp 201 are highly desired and normally contribute to select",3.0,,,,,
,91efb631-3aac-4018-82c7-b4935f54650e,Astr Engr 310,Prereq: C1C standing (C2C accepted with department approval),3.0,,,,,
,9adc62a8-20b9-4e6c-8ce9-e39a7034820b,Astr Engr 321,The course focuses on applying numerical and analytical techniques to solve realistic Air and Space Force problems in astrodynamics and space,3.0,,,,,
,8dfc7750-68e3-4014-90fe-1fb560ddd162,Aviation 100,"Enrollment is based on program requirements, will vary by semester, and is orchestrated by the HQ USAFA/A3O Operations Career Field Manager –",3.0,,,,,
,cc5a3e03-cae0-44f0-99cc-c0187787fbc7,Aviation 400,Candidates are vetted by permanent party cadre based on demonstrated instructional potential and overall excellent performance in prior cours,3.0,,,,,
,0af43e1e-3c4d-4505-8db0-18d01c4bef87,Beh Sci 332,Sem hrs: 3 fall,3.0,,,,,
,0db9ab7f-9f33-4433-aab6-468d625fe9b7,Biology 330,Sem hrs: 3 spring of oddnumbered years,3.0,,,,,
,07a5976e-2614-4c0e-af8d-a0e91d589fbc,Biology 363,Sem hrs: 3 fall or spring,3.0,,,,,
