action,course_id,course_number,current_title,current_credit_hours,new_title,new_credit_hours,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
,0af43e1e-3c4d-4505-8db0-18d01c4bef87,Beh Sci 332,Sem hrs: 3 fall,3.0,,,,,
,9d4c5ca7-3e39-4791-afb5-bc10d0721b88,Chinese 365,Sem hrs: 3 fall of even years,3.0,,,,,
,ea216735-65dc-4243-9670-0cc74c8e5a88,French 365,Sem hrs: 3 spring of even years,3.0,,,,,
,09b2fe0a-f040-4350-906a-70eb9d2c641c,GENR 105,Behavioral Sciences Option Placeholder,3.0,,,,,
,9c7a8d1b-dbc0-4c33-8207-7586778b50c0,GENR 107,Chemistry Option Placeholder,3.0,,,,,
,8f1c49ae-1736-4185-8f9a-c25faf65f9b4,GENR 112,Economics Option Placeholder,3.0,,,,,
,ce3d3c42-39e9-4d0b-8ba5-b522f3534623,GENR 120,Legal Studies Option Placeholder,3.0,,,,,
,9a34896d-132f-4b75-af9e-afd98a57ed6e,GENR 123,Mechanical Engineering Option Placeholder,3.0,,,,,
,9ff02115-75e1-47b9-bf6b-4bff40c75107,GENR 126,Operations Research Option Placeholder,3.0,,,,,
,edcaba02-aff9-472a-ab9e-9ecaa6ab956f,GENR 127,Philosophy Option Placeholder,3.0,,,,,
,19146e59-3ef3-406f-a6ba-456f45b9142a,GENR 128,Physics Option Placeholder,3.0,,,,,
,caddc7f5-a269-46b8-805f-5815d7c82db4,GENR 132,Aerospace Materials Option Placeholder,3.0,,,,,
,7df10b4e-f22a-4094-b7b0-f8cf90165469,GENR 133,Airpower Studies Option Placeholder,3.0,,,,,
,664808db-65e2-477b-b132-5a4b26685141,GENR 134,American Studies Option Placeholder,3.0,,,,,
,93844506-f330-4694-93a4-a3d1c903899a,GENR 135,Foreign Language Option Placeholder,3.0,,,,,
,25f3907c-e60f-4918-9c4b-c87bbfe080b9,GENR 136,Future Conflict Option Placeholder,3.0,,,,,
,cbdd7824-188a-4ed0-9465-303bfebc1059,GENR 137,Global Logistics Management Option Placeholder,3.0,,,,,
,3bf77f9a-5953-42e8-bbcd-1b53d860c3f4,GENR 138,High Performance Computing Option Placeholder,3.0,,,,,
,977a3925-5111-456c-b531-d5f0cce01017,GENR 139,Nuclear Weapons And Strategy Option Placeholder,3.0,,,,,
,0669545e-49a5-4590-80fa-c9975f5b8beb,GENR 140,Pre-Health Professions Option Placeholder,3.0,,,,,
,325d745b-366a-4b34-b8ce-9861c33c1ea0,GENR 141,Quantum Technologies Option Placeholder,3.0,,,,,
,d20777c0-af7f-4017-924c-36eded5cb271,GENR 142,Religion Studies Option Placeholder,3.0,,,,,
,863ec7a2-5c58-4484-a0bd-24a9c104ed66,GENR 143,Robotics And Autonomous Systems Option Placeholder,3.0,,,,,
,204ab747-44ca-4a69-b405-fb131370f107,GENR 144,Space Warfighting Option Placeholder,3.0,,,,,
,145be55d-a352-47c0-804f-e63d33f40d08,GENR 145,Sustainability Option Placeholder,3.0,,,,,
,1190436d-f001-47aa-8cb2-1f1a691098a5,German 365,Sem hrs: 3 spring of even years,3.0,,,,,
,456ddba1-469b-4c3a-8d73-3963c6e66968,Math 243,Sem hrs: 3 fall,3.0,,,,,
,4aa89472-0566-4aee-9604-65d51f485adc,Math 374,Sem hrs: 3 spring,3.0,,,,,
,943907fc-c462-413b-bc7b-a45212a292a7,Portuguese 365,Sem hrs: 3 fall of even years,3.0,,,,,
,86bce790-7d6e-4bff-9740-b2047c5fb35c,Russian 365,Sem hrs: 3 spring of even years,3.0,,,,,
,d7bceb3f-6788-41d9-8233-29059b76f36a,Spanish 365,Sem hrs: 3 spring,3.0,,,,,
