action,course_id,course_number,current_title,current_credit_hours,current_designated_semester,current_offered_periods_json,current_standing_requirement,current_additional_requirements_text,current_min_section_size,new_title,new_credit_hours,new_designated_semester,new_offered_periods_json,new_standing_requirement,new_additional_requirements_text,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
,80e0f5ef-cf78-448d-bb62-a943172d8a7c,AF 724,Air Force Course 724,3.0,,,,,6,,,,,,,,,
,548964b0-992a-4eb4-8ab7-1dc4b562c61e,AV 100,Introduction to Powered Flight Operations,0.0,,,,,1,,,,,,,,,
,2588f52e-5588-4d66-9493-31b93275d006,AX 302,Pattern Solo (RDI: ROTC - Aim High Flight Academy),0.0,,,,,1,,,,,,,,,
,9f0a67d7-d00d-4f7c-acc4-5328e824025f,AX 401,Private Pilot Certificate (PPC) - The Academy,0.0,,,,,1,,,,,,,,,
,c586f391-00f3-4450-841e-cd0882620329,Aero Engr 206,Fundamental Tools for Engineering,3.0,,,,,6,,,,,,,,,
,6526fcbf-848b-4565-aadb-90a29035d6f0,Aero Engr 210,Fundamentals of Aeronautics for Engineering majors,3.0,,,,,6,,,,,,,,,
,cb52f8c0-2e59-4064-8f3d-74500a98fe77,Aero Engr 210S,Fundamentals of Aeronautics for Scholars,3.0,,,,,6,,,,,,,,,
,c9423571-7ead-4c07-b579-5944362f618e,Aero Engr 241,Aero-Thermodynamics,3.0,,,,,6,,,,,,,,,
,15fded97-e523-470f-8694-ca0f988ac280,Aero Engr 315,Fundamentals of Aeronautics,3.0,,,,,6,,,,,,,,,
,e6b10d12-d855-4705-a8bc-ba564bf0f5c0,Aero Engr 316,Fundamentals of Aeronautics – French language section,3.0,,,,,6,,,,,,,,,
,503ef1c2-bf40-441e-8548-7f736360a576,Aero Engr 341,Aeronautical Fluid Dynamics,3.0,,,,,6,,,,,,,,,
,26f7f333-caff-4725-9b05-3016ca3f3aad,Aero Engr 342,Computational Aerodynamics,3.0,,,,,6,,,,,,,,,
,9f37c7cb-6b86-4b0f-8f4a-5047ea8d034f,Aero Engr 351,Aircraft Performance and Static Stability,3.0,,,,,6,,,,,,,,,
,1552c216-5683-4873-8968-a7ab34777f5f,Aero Engr 352,Aircraft Dynamic Stability and Control,3.0,,,,,6,,,,,,,,,
,edf78966-8b1b-46e6-81bc-f98711f2f1b0,Aero Engr 361,Propulsion I,3.0,,,,,6,,,,,,,,,
