course_id,course_number,current_title,current_period_count,suggested_period_count,confidence,candidate_1,candidate_2,candidate_3,coi_snippet,notes
80e0f5ef-cf78-448d-bb62-a943172d8a7c,AF 724,Air Force Course 724,,,none,,,,,review suggested_period_count against COI
548964b0-992a-4eb4-8ab7-1dc4b562c61e,AV 100,Introduction to Powered Flight Operations,,2,low,Chem 100 | General Chemistry I Lecture and Lab | 4(2),History 100 | The History of Modern Warfare | 3(1),Mil Tng 100 | Basic Cadet Training (BCT) | 0(0),"75% to meet Academy Graduation requirements. Sem hrs: 0 fall or spring. This course, integrated with Leadership 200 and CE200, is a contributor to the development and assessment of the Leadership, Teamwork, and Organizational Management outcome. CE and CL courses are taught within a 10 Lesson block scheduled during the academi",review suggested_period_count against COI
2588f52e-5588-4d66-9493-31b93275d006,AX 302,Pattern Solo (RDI: ROTC - Aim High Flight Academy),,1,low,MSS 302 | Future Conflict and Disruptive Technologies | 3(1),Mil Tng 302 | Navy Programs | 0(0),Pol Sci 302 | American Foreign and National Security Policy | 3(1),"specifications determined by faculty members. Final report. Prereq (required for all): C1C standing and team advisor approval. Prereq (required for Mech Engr Majors): Mech Engr 320, Mech Engr 330, Mech Engr 312, Mech Engr 341, and Mech Engr 460. Non-Mech Engr majors are welcome on a case-by-case basis. Waiver authority is the DFME",review suggested_period_count against COI
9f0a67d7-d00d-4f7c-acc4-5328e824025f,AX 401,Private Pilot Certificate (PPC) - The Academy,,0,low,Bas Sci 401 | Basis Sciences Divisional Core Substitute | 3(0),Engr 401 | Engineering Divisional Core Substitute | 3(0),For Lang 401 | Intensive Language Study | 3(0),orbit small satellites. Final project or report. Coreq: Astr Engr 310. Prereq: C1C standing (C2C accepted with department approval). Sem hrs: 4 spring. Astr Engr 438. Small Spacecraft Engineering III. 4(2). A continuation of small spacecraft systems engineering. Multi-disciplinary system design or spacecraft hardware and softwar,review suggested_period_count against COI
c586f391-00f3-4450-841e-cd0882620329,Aero Engr 206,Fundamental Tools for Engineering,,,none,,,,,review suggested_period_count against COI
2823f86a-9cac-45a8-aa02-f611769ae429,Ar Stu 400,Intercultural Competence,,0,medium,For Ar Stu 400 | Intercultural Competence | 1(0),Engr 400 | Divisional Seminar | 3(1),For Lang 400 | Intensive Language Study | 3(0),"inguistic means by which fiction, memoir, poetry, creative nonfiction, film, journalism, drama, documentaries, and biography represent and reveal nuances about the human experience of war. Possible topics include the literature of remembrance and memory, literature of the Holocaust, women and war narratives, the ethics and a",review suggested_period_count against COI
10c29ccf-57f8-458e-b6d9-f62c83155fbd,Ar Stu 410,Model Arab League (MAL),,1,medium,For Ar Stu 410 | Model Arab League (MAL) | 3(1),Biology 410 | Anatomy and Physiology: Sensory and Motor Integration | 3(2),Philos 410 | Medical Ethics | 3(1),"ncient war stories. Final paper and/or project. Prereq: English 211. Sem hrs: 3 fall or spring. English 375. Literature, Language, and Science. 3(1). This course examines the intersection of literary texts with scientific innovation, including invention, medicine, technology, biology, and other scientific study. Topic",review suggested_period_count against COI
52c66225-e7cc-4689-b555-b2bb7632d856,Ar Stu 415,Advanced Model Arab League (AMAL),,1,medium,For Ar Stu 415 | Advanced Model Arab League (AMAL) | 3(1),,,"medical humanities, and marginalized practices such as alchemy or animal magnetism. Repeatable once. Final paper and/or project. Prereq: English 211. Sem hrs: 3 fall or spring. English 380. Literature, Language, and Politics. 3(1). This course examines the relationship between literary texts and political history, philosophical",review suggested_period_count against COI
c9240cb2-245f-449e-a7db-e86ab49fa5f8,Ar Stu 420,Model Organization of American States (MOAS),,1,medium,For Ar Stu 420 | Model Organization of American States (MOAS) | 3(1),Math 420 | Mathematics Capstone I | 1(1),Mgt 420 | Management Capstone Practicum | 3(2),"or spring. English 385. Literature, Language, and Philosophy. 3(1). This course will focus on how literature and language explore, critique, and contribute to understandings of philosophy and philosophical ideas. Topics vary but may examine the influence of specific philosophical figures on writers of literature, the means by which litera",review suggested_period_count against COI
62f24933-4e2c-4b4a-b590-de7b2727f806,Ar Stu 425,Advanced Model Organization of American States (AMOAS),,1,medium,For Ar Stu 425 | Advanced Model Organization of American States (AMOAS) | 3(1),,,nomenological nature of literature; and existential writing. Repeatable once. Prereq: English 211. Sem hrs: 3 fall or spring. English 400S. Literature and the Fine Arts II (Enlightenment to the 20th Century). 3(1). Interdisciplinary course focused on the intellectual history of Western civilization through literature and the arts. English 400S is,review suggested_period_count against COI
