kind,label,min_required_credits,status,consistency_status,validation_fail_count,consistency_fail_count,mandatory_course_count
DOUBLE_MAJOR,Double Major - Mechanical Engineering + Physics,202.0,PASS,CONSISTENT,0,0,70
DOUBLE_MAJOR,Double Major - Civil Engineering + Mechanical Engineering,201.0,FAIL,CONSISTENT,2,0,62
DOUBLE_MAJOR,Double Major - Aeronautical Engineering + Mechanical Engineering,200.0,FAIL,CONSISTENT,2,0,58
DOUBLE_MAJOR,Double Major - Astronautical Engineering + Mechanical Engineering,200.0,FAIL,CONSISTENT,2,0,58
DOUBLE_MAJOR,Double Major - Civil Engineering + Physics,200.0,PASS,CONSISTENT,0,0,71
DOUBLE_MAJOR,Double Major - Electrical And Computer Engineering + Mechanical Engineering,200.0,FAIL,CONSISTENT,2,0,59
DOUBLE_MAJOR,Double Major - Aeronautical Engineering + Physics,199.0,PASS,CONSISTENT,0,0,69
DOUBLE_MAJOR,Double Major - Astronautical Engineering + Physics,199.0,PASS,CONSISTENT,0,0,67
DOUBLE_MAJOR,Double Major - Electrical And Computer Engineering + Physics,199.0,PASS,CONSISTENT,0,0,68
DOUBLE_MAJOR,Double Major - Aeronautical Engineering + Civil Engineering,198.0,FAIL,CONSISTENT,2,0,61
DOUBLE_MAJOR,Double Major - Astronautical Engineering + Civil Engineering,198.0,FAIL,CONSISTENT,2,0,60
DOUBLE_MAJOR,Double Major - Civil Engineering + Electrical And Computer Engineering,198.0,FAIL,CONSISTENT,2,0,60
DOUBLE_MAJOR,Double Major - Aeronautical Engineering + Astronautical Engineering,197.0,FAIL,CONSISTENT,2,0,56
DOUBLE_MAJOR,Double Major - Aeronautical Engineering + Electrical And Computer Engineering,197.0,FAIL,CONSISTENT,2,0,58
DOUBLE_MAJOR,Double Major - Astronautical Engineering + Electrical And Computer Engineering,197.0,FAIL,CONSISTENT,2,0,57
DOUBLE_MAJOR,Double Major - Computer Science + Mechanical Engineering,197.0,FAIL,CONSISTENT,2,0,60
DOUBLE_MAJOR,Double Major - Cyber Science + Mechanical Engineering,197.0,FAIL,CONSISTENT,2,0,60
